AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,target,target_name
-8.45,-8.99,0.96,0.41,-0.06,0.65,-8.99,-8.45,0.0,walk
-8.29,-8.7,1.02,0.48,-0.06,0.47,-8.7,-8.29,0.0,walk
-8.12,-8.31,1.3,0.38,-0.07,0.34,-8.31,-8.12,0.0,walk
-8.09,-8.01,1.54,0.26,-0.1,0.28,-8.01,-8.09,0.0,walk
-7.99,-7.97,1.8,0.14,-0.17,0.26,-7.97,-7.99,0.0,walk
-8.0,-8.26,1.83,0.11,-0.28,0.21,-8.26,-8.0,0.0,walk
-7.79,-8.41,1.6,0.23,-0.39,0.11,-8.41,-7.79,0.0,walk
-7.6,-8.19,1.25,0.2,-0.45,0.01,-8.19,-7.6,0.0,walk
-7.39,-8.11,0.97,-0.12,-0.44,-0.05,-8.11,-7.39,0.0,walk
-7.17,-8.16,0.81,-0.4,-0.37,-0.16,-8.16,-7.17,0.0,walk
-7.36,-8.0,1.21,-0.7,-0.31,-0.26,-8.0,-7.36,0.0,walk
-7.42,-7.76,1.47,-0.6,-0.34,-0.37,-7.76,-7.42,0.0,walk
-7.25,-7.31,1.37,-0.4,-0.37,-0.44,-7.31,-7.25,0.0,walk
-7.35,-6.88,1.4,-0.43,-0.33,-0.46,-6.88,-7.35,0.0,walk
-7.4,-6.83,1.68,-0.49,-0.3,-0.45,-6.83,-7.4,0.0,walk
-7.35,-6.86,1.91,-0.46,-0.31,-0.42,-6.86,-7.35,0.0,walk
-7.45,-6.94,2.24,-0.77,-0.34,-0.38,-6.94,-7.45,0.0,walk
-7.57,-7.87,2.03,-0.68,-0.46,-0.4,-7.87,-7.57,0.0,walk
-7.55,-7.84,1.76,-0.81,-0.47,-0.51,-7.84,-7.55,0.0,walk
-7.68,-8.23,1.75,-0.66,-0.44,-0.66,-8.23,-7.68,0.0,walk
-7.77,-7.45,1.87,-0.25,-0.4,-0.74,-7.45,-7.77,0.0,walk
-7.75,-6.99,2.18,-0.13,-0.37,-0.73,-6.99,-7.75,0.0,walk
-7.81,-6.93,2.51,-0.19,-0.44,-0.67,-6.93,-7.81,0.0,walk
-7.95,-6.82,2.7,-0.64,-0.55,-0.62,-6.82,-7.95,0.0,walk
-8.02,-7.14,2.62,-1.08,-0.69,-0.56,-7.14,-8.02,0.0,walk
-8.23,-7.54,2.27,-1.42,-0.8,-0.57,-7.54,-8.23,0.0,walk
-8.37,-8.21,1.8,-1.56,-0.86,-0.63,-8.21,-8.37,0.0,walk
-8.55,-8.76,1.24,-1.36,-0.88,-0.81,-8.76,-8.55,0.0,walk
-8.7,-8.4,0.84,-1.07,-0.82,-1.03,-8.4,-8.7,0.0,walk
-8.79,-7.66,0.72,-0.87,-0.7,-1.17,-7.66,-8.79,0.0,walk
-8.84,-7.22,0.95,-0.75,-0.6,-1.2,-7.22,-8.84,0.0,walk
-8.92,-7.24,1.12,-0.73,-0.58,-1.22,-7.24,-8.92,0.0,walk
-8.86,-7.22,0.95,-0.68,-0.58,-1.27,-7.22,-8.86,0.0,walk
-8.78,-6.91,0.71,-0.74,-0.51,-1.33,-6.91,-8.78,0.0,walk
-8.66,-6.75,0.84,-0.76,-0.4,-1.33,-6.75,-8.66,0.0,walk
-8.44,-7.36,1.4,-0.63,-0.34,-1.34,-7.36,-8.44,0.0,walk
-8.63,-7.45,1.86,-0.28,-0.44,-1.44,-7.45,-8.63,0.0,walk
-8.66,-6.84,2.08,-0.29,-0.56,-1.57,-6.84,-8.66,0.0,walk
-8.5,-6.16,1.81,-0.3,-0.75,-1.62,-6.16,-8.5,0.0,walk
-8.28,-5.17,0.89,-0.44,-0.8,-1.54,-5.17,-8.28,0.0,walk
-8.16,-4.96,0.34,-0.63,-0.7,-1.38,-4.96,-8.16,0.0,walk
-8.11,-5.13,0.31,-0.76,-0.56,-1.28,-5.13,-8.11,0.0,walk
-7.99,-5.08,0.4,-0.74,-0.47,-1.24,-5.08,-7.99,0.0,walk
-7.96,-4.98,0.61,-0.81,-0.39,-1.17,-4.98,-7.96,0.0,walk
-7.93,-4.94,0.9,-0.9,-0.37,-1.11,-4.94,-7.93,0.0,walk
-7.91,-4.88,0.9,-1.08,-0.42,-1.02,-4.88,-7.91,0.0,walk
-7.86,-5.1,0.56,-1.1,-0.45,-0.95,-5.1,-7.86,0.0,walk
-7.78,-5.2,0.14,-0.98,-0.42,-0.89,-5.2,-7.78,0.0,walk
-7.65,-5.36,-0.15,-0.97,-0.33,-0.85,-5.36,-7.65,0.0,walk
-7.61,-5.47,-0.22,-1.0,-0.2,-0.85,-5.47,-7.61,0.0,walk
-7.53,-5.17,-0.15,-1.01,-0.07,-0.86,-5.17,-7.53,0.0,walk
-7.48,-4.68,-0.18,-1.12,0.09,-0.84,-4.68,-7.48,0.0,walk
-7.24,-4.48,-0.14,-1.35,0.24,-0.76,-4.48,-7.24,0.0,walk
-7.21,-4.76,0.09,-1.63,0.38,-0.75,-4.76,-7.21,0.0,walk
-7.14,-4.26,0.37,-1.6,0.42,-0.75,-4.26,-7.14,0.0,walk
-7.07,-3.46,0.53,-1.42,0.41,-0.6,-3.46,-7.07,0.0,walk
-6.93,-3.16,0.72,-1.29,0.37,-0.36,-3.16,-6.93,0.0,walk
-7.03,-3.37,0.88,-1.12,0.28,-0.14,-3.37,-7.03,0.0,walk
-7.27,-3.4,0.8,-1.04,0.16,-0.02,-3.4,-7.27,0.0,walk
-7.19,-3.33,0.63,-1.03,0.09,0.1,-3.33,-7.19,0.0,walk
-7.18,-3.25,0.39,-0.96,-0.01,0.25,-3.25,-7.18,0.0,walk
-7.21,-3.43,-0.11,-0.85,-0.09,0.45,-3.43,-7.21,0.0,walk
-7.32,-4.07,-0.54,-0.67,-0.16,0.63,-4.07,-7.32,0.0,walk
-7.45,-4.24,-1.11,-0.2,-0.19,0.72,-4.24,-7.45,0.0,walk
-7.61,-3.91,-1.5,0.14,-0.08,0.9,-3.91,-7.61,0.0,walk
-7.7,-4.33,-1.29,0.37,0.09,1.14,-4.33,-7.7,0.0,walk
-7.66,-5.1,-0.73,0.48,0.19,1.27,-5.1,-7.66,0.0,walk
-7.58,-5.39,-0.21,0.56,0.17,1.34,-5.39,-7.58,0.0,walk
-7.47,-5.61,-0.19,0.65,0.11,1.4,-5.61,-7.47,0.0,walk
-7.37,-5.71,-0.32,0.79,0.09,1.45,-5.71,-7.37,0.0,walk
-7.43,-5.67,-0.3,0.79,0.12,1.52,-5.67,-7.43,0.0,walk
-7.6,-5.7,-0.01,0.65,0.14,1.6,-5.7,-7.6,0.0,walk
-7.76,-5.84,0.24,0.52,0.09,1.69,-5.84,-7.76,0.0,walk
-7.91,-6.17,0.23,0.44,-0.01,1.78,-6.17,-7.91,0.0,walk
-7.97,-7.03,-0.09,0.64,-0.11,1.8,-7.03,-7.97,0.0,walk
-8.16,-7.46,-0.41,1.18,-0.16,1.77,-7.46,-8.16,0.0,walk
-8.34,-7.64,-0.83,1.43,-0.08,1.74,-7.64,-8.34,0.0,walk
-8.5,-8.19,-1.05,1.44,0.09,1.63,-8.19,-8.5,0.0,walk
-8.59,-8.41,-1.08,1.57,0.31,1.42,-8.41,-8.59,0.0,walk
-8.62,-8.15,-0.79,1.62,0.56,1.21,-8.15,-8.62,0.0,walk
-8.67,-7.7,-0.22,1.55,0.75,1.06,-7.7,-8.67,0.0,walk
-8.77,-7.45,0.38,1.63,0.85,0.94,-7.45,-8.77,0.0,walk
-8.79,-7.11,0.95,1.59,0.89,0.81,-7.11,-8.79,0.0,walk
-8.63,-6.93,1.47,1.33,0.88,0.71,-6.93,-8.63,0.0,walk
-8.57,-7.16,1.86,1.36,0.81,0.67,-7.16,-8.57,0.0,walk
-8.37,-7.65,1.98,2.01,0.67,0.43,-7.65,-8.37,0.0,walk
-8.11,-5.79,1.4,2.4,0.62,0.38,-5.79,-8.11,0.0,walk
-7.93,-5.73,1.46,2.04,0.68,0.51,-5.73,-7.93,0.0,walk
-7.91,-6.0,1.7,1.92,0.62,0.5,-6.0,-7.91,0.0,walk
-7.7,-5.55,1.6,1.86,0.54,0.51,-5.55,-7.7,0.0,walk
-7.55,-5.51,1.53,1.61,0.52,0.57,-5.51,-7.55,0.0,walk
-7.49,-5.77,1.9,1.24,0.52,0.58,-5.77,-7.49,0.0,walk
-7.55,-5.83,2.33,0.93,0.41,0.52,-5.83,-7.55,0.0,walk
-7.58,-5.55,2.18,0.74,0.22,0.46,-5.55,-7.58,0.0,walk
-7.64,-5.25,1.64,0.64,0.08,0.49,-5.25,-7.64,0.0,walk
-7.65,-5.19,0.79,0.78,0.05,0.57,-5.19,-7.65,0.0,walk
-7.62,-5.25,0.39,0.78,0.14,0.68,-5.25,-7.62,0.0,walk
-7.77,-5.72,0.55,0.66,0.26,0.77,-5.72,-7.77,0.0,walk
-7.81,-6.3,0.95,0.62,0.34,0.77,-6.3,-7.81,0.0,walk
-7.83,-6.73,1.26,0.57,0.32,0.71,-6.73,-7.83,0.0,walk
-7.85,-7.0,1.35,0.51,0.25,0.6,-7.0,-7.85,0.0,walk
-7.88,-7.03,1.22,0.47,0.18,0.49,-7.03,-7.88,0.0,walk
-7.8,-6.9,1.02,0.43,0.16,0.41,-6.9,-7.8,0.0,walk
-7.78,-6.74,1.01,0.36,0.16,0.34,-6.74,-7.78,0.0,walk
-7.69,-6.72,1.07,0.34,0.14,0.3,-6.72,-7.69,0.0,walk
-7.56,-6.44,0.96,0.33,0.11,0.3,-6.44,-7.56,0.0,walk
-7.41,-6.62,0.91,0.23,0.08,0.28,-6.62,-7.41,0.0,walk
-7.33,-6.8,0.69,0.22,0.08,0.2,-6.8,-7.33,0.0,walk
-7.17,-6.58,0.48,0.22,0.14,0.14,-6.58,-7.17,0.0,walk
-7.25,-6.56,0.71,0.15,0.2,0.08,-6.56,-7.25,0.0,walk
-7.22,-6.57,0.8,0.09,0.21,0.01,-6.57,-7.22,0.0,walk
-7.33,-6.29,0.63,-0.08,0.19,-0.04,-6.29,-7.33,0.0,walk
-7.29,-5.97,0.35,-0.37,0.24,-0.07,-5.97,-7.29,0.0,walk
-8.33,-6.13,0.45,-0.55,0.32,-0.05,-6.13,-8.33,0.0,walk
-7.13,-6.34,0.88,-0.36,0.39,-0.11,-6.34,-7.13,0.0,walk
-7.58,-5.71,0.77,-0.44,0.39,-0.13,-5.71,-7.58,0.0,walk
-7.95,-5.93,0.87,-0.48,0.47,-0.05,-5.93,-7.95,0.0,walk
-8.36,-6.14,1.39,-0.11,0.52,0.04,-6.14,-8.36,0.0,walk
-9.03,-6.4,2.19,-0.04,0.48,0.11,-6.4,-9.03,0.0,walk
-9.37,-6.52,2.68,0.05,0.33,0.06,-6.52,-9.37,0.0,walk
-9.56,-5.97,2.91,0.03,0.17,0.08,-5.97,-9.56,0.0,walk
-9.78,-5.74,2.87,-0.35,-0.01,0.22,-5.74,-9.78,0.0,walk
-9.85,-6.59,2.47,-0.74,-0.15,0.38,-6.59,-9.85,0.0,walk
-9.64,-7.67,2.03,-0.76,-0.18,0.42,-7.67,-9.64,0.0,walk
-9.35,-8.45,2.02,-0.74,-0.16,0.35,-8.45,-9.35,0.0,walk
-8.87,-8.97,2.17,-0.81,-0.18,0.21,-8.97,-8.87,0.0,walk
-8.6,-9.39,2.59,-0.76,-0.21,-0.03,-9.39,-8.6,0.0,walk
-8.37,-9.13,2.98,-0.82,-0.31,-0.29,-9.13,-8.37,0.0,walk
-8.19,-8.54,3.11,-1.08,-0.47,-0.52,-8.54,-8.19,0.0,walk
-8.07,-7.92,2.87,-1.21,-0.63,-0.7,-7.92,-8.07,0.0,walk
-8.06,-7.16,2.36,-1.26,-0.71,-0.77,-7.16,-8.06,0.0,walk
-7.94,-6.99,2.14,-1.32,-0.76,-0.78,-6.99,-7.94,0.0,walk
-7.92,-7.09,1.76,-1.37,-0.82,-0.81,-7.09,-7.92,0.0,walk
-7.9,-7.41,1.18,-1.46,-0.82,-0.91,-7.41,-7.9,0.0,walk
-8.07,-7.34,0.93,-1.55,-0.75,-1.08,-7.34,-8.07,0.0,walk
-8.33,-6.72,1.09,-1.61,-0.65,-1.24,-6.72,-8.33,0.0,walk
-8.7,-5.87,1.47,-1.62,-0.59,-1.32,-5.87,-8.7,0.0,walk
-8.92,-5.2,1.7,-1.75,-0.53,-1.3,-5.2,-8.92,0.0,walk
-9.25,-4.95,2.18,-1.88,-0.54,-1.21,-4.95,-9.25,0.0,walk
-9.53,-5.01,2.29,-1.92,-0.61,-1.07,-5.01,-9.53,0.0,walk
-9.71,-5.59,2.14,-1.87,-0.69,-0.94,-5.59,-9.71,0.0,walk
-9.83,-6.44,1.45,-1.84,-0.72,-0.91,-6.44,-9.83,0.0,walk
-9.84,-7.1,1.02,-1.83,-0.65,-0.99,-7.1,-9.84,0.0,walk
-9.74,-7.34,0.79,-1.74,-0.54,-1.1,-7.34,-9.74,0.0,walk
-9.6,-7.57,0.85,-1.6,-0.39,-1.19,-7.57,-9.6,0.0,walk
-9.53,-7.87,1.26,-1.29,-0.27,-1.35,-7.87,-9.53,0.0,walk
-9.44,-7.46,1.61,-0.86,-0.21,-1.5,-7.46,-9.44,0.0,walk
-9.4,-7.07,2.06,-0.82,-0.23,-1.61,-7.07,-9.4,0.0,walk
-9.39,-6.85,2.14,-0.9,-0.32,-1.68,-6.85,-9.39,0.0,walk
-9.38,-6.51,1.9,-1.05,-0.39,-1.78,-6.51,-9.38,0.0,walk
-9.27,-6.0,1.59,-1.22,-0.43,-1.81,-6.0,-9.27,0.0,walk
-9.39,-5.86,1.34,-1.32,-0.42,-1.81,-5.86,-9.39,0.0,walk
-9.34,-5.72,1.15,-1.24,-0.4,-1.81,-5.72,-9.34,0.0,walk
-9.24,-5.39,0.94,-1.3,-0.37,-1.81,-5.39,-9.24,0.0,walk
-9.07,-5.47,0.72,-1.29,-0.36,-1.82,-5.47,-9.07,0.0,walk
-8.86,-5.06,0.41,-1.03,-0.3,-1.84,-5.06,-8.86,0.0,walk
-8.66,-4.52,0.25,-0.9,-0.21,-1.81,-4.52,-8.66,0.0,walk
-8.29,-4.1,0.23,-0.81,-0.15,-1.73,-4.1,-8.29,0.0,walk
-7.92,-3.95,0.17,-0.79,-0.06,-1.64,-3.95,-7.92,0.0,walk
-7.59,-3.85,0.33,-0.76,-0.02,-1.55,-3.85,-7.59,0.0,walk
-7.26,-3.66,0.37,-0.7,0.02,-1.46,-3.66,-7.26,0.0,walk
-6.96,-3.51,0.56,-0.75,0.02,-1.38,-3.51,-6.96,0.0,walk
-6.68,-3.27,0.57,-0.78,-0.0,-1.3,-3.27,-6.68,0.0,walk
-6.47,-3.02,0.52,-0.83,-0.04,-1.19,-3.02,-6.47,0.0,walk
-6.32,-2.88,0.44,-0.71,-0.08,-1.08,-2.88,-6.32,0.0,walk
-6.22,-2.43,0.16,-0.56,-0.09,-0.95,-2.43,-6.22,0.0,walk
-5.98,-2.1,0.09,-0.55,-0.06,-0.76,-2.1,-5.98,0.0,walk
-5.94,-1.99,0.34,-0.5,-0.06,-0.52,-1.99,-5.94,0.0,walk
-5.96,-2.22,0.34,-0.54,-0.1,-0.26,-2.22,-5.96,0.0,walk
-5.94,-2.72,0.24,-0.54,-0.18,-0.08,-2.72,-5.94,0.0,walk
-5.92,-2.91,-0.13,-0.49,-0.25,0.06,-2.91,-5.92,0.0,walk
-5.97,-2.94,-0.56,-0.49,-0.25,0.19,-2.94,-5.97,0.0,walk
-6.07,-3.06,-0.79,-0.55,-0.22,0.35,-3.06,-6.07,0.0,walk
-6.18,-3.28,-0.97,-0.52,-0.19,0.5,-3.28,-6.18,0.0,walk
-6.26,-3.48,-1.09,-0.43,-0.15,0.63,-3.48,-6.26,0.0,walk
-6.37,-3.59,-1.14,-0.35,-0.11,0.76,-3.59,-6.37,0.0,walk
-6.67,-3.81,-1.18,-0.24,-0.06,0.87,-3.81,-6.67,0.0,walk
-7.51,-4.08,-1.24,-0.11,-0.01,0.97,-4.08,-7.51,0.0,walk
-8.26,-4.03,-1.09,0.07,0.13,1.01,-4.03,-8.26,0.0,walk
-8.94,-3.22,-0.16,0.19,0.26,1.11,-3.22,-8.94,0.0,walk
-9.62,-2.84,0.79,0.28,0.24,1.38,-2.84,-9.62,0.0,walk
-10.24,-3.27,0.97,0.38,0.11,1.7,-3.27,-10.24,0.0,walk
-10.46,-4.01,0.66,0.42,0.02,1.93,-4.01,-10.46,0.0,walk
-10.29,-4.76,0.38,0.64,-0.0,2.13,-4.76,-10.29,0.0,walk
-10.03,-5.79,0.11,1.0,0.02,2.28,-5.79,-10.03,0.0,walk
-9.81,-6.75,0.04,1.28,0.08,2.3,-6.75,-9.81,0.0,walk
-9.65,-7.29,0.26,1.44,0.13,2.21,-7.29,-9.65,0.0,walk
-9.52,-7.13,0.6,1.45,0.14,2.09,-7.13,-9.52,0.0,walk
-9.34,-7.08,0.87,1.34,0.06,2.03,-7.08,-9.34,0.0,walk
-9.14,-7.08,0.6,1.32,-0.02,1.99,-7.08,-9.14,0.0,walk
-9.05,-7.18,0.57,1.15,-0.03,1.98,-7.18,-9.05,0.0,walk
-9.26,-7.57,0.65,1.05,-0.09,1.94,-7.57,-9.26,0.0,walk
-9.46,-7.77,0.5,1.0,-0.15,1.87,-7.77,-9.46,0.0,walk
-9.57,-8.12,0.21,1.02,-0.18,1.76,-8.12,-9.57,0.0,walk
-9.7,-8.44,-0.01,1.2,-0.13,1.63,-8.44,-9.7,0.0,walk
-9.66,-7.89,-0.06,1.76,-0.12,1.38,-7.89,-9.66,0.0,walk
-9.66,-7.35,-0.11,1.48,0.06,1.46,-7.35,-9.66,0.0,walk
-9.65,-8.47,0.19,1.4,0.17,1.37,-8.47,-9.65,0.0,walk
-9.59,-8.41,0.45,1.37,0.24,1.13,-8.41,-9.59,0.0,walk
-9.45,-7.59,0.75,1.31,0.28,0.94,-7.59,-9.45,0.0,walk
-9.2,-7.0,1.07,1.34,0.31,0.91,-7.0,-9.2,0.0,walk
-8.87,-6.94,1.27,1.16,0.29,0.92,-6.94,-8.87,0.0,walk
-8.53,-7.1,1.3,1.06,0.24,0.85,-7.1,-8.53,0.0,walk
-8.23,-6.97,1.11,1.03,0.21,0.77,-6.97,-8.23,0.0,walk
-8.0,-6.76,0.98,1.04,0.21,0.69,-6.76,-8.0,0.0,walk
-7.88,-6.26,1.11,0.98,0.22,0.62,-6.26,-7.88,0.0,walk
-7.87,-5.84,1.25,0.84,0.16,0.62,-5.84,-7.87,0.0,walk
-7.79,-5.6,0.99,0.68,0.09,0.63,-5.6,-7.79,0.0,walk
-7.75,-5.53,0.66,0.52,0.08,0.68,-5.53,-7.75,0.0,walk
-7.78,-5.73,0.56,0.42,0.09,0.72,-5.73,-7.78,0.0,walk
-7.76,-6.11,0.47,0.42,0.08,0.72,-6.11,-7.76,0.0,walk
-7.72,-6.43,0.25,0.53,0.09,0.67,-6.43,-7.72,0.0,walk
-7.73,-6.43,0.15,0.69,0.12,0.6,-6.43,-7.73,0.0,walk
-7.65,-6.37,0.25,0.78,0.16,0.55,-6.37,-7.65,0.0,walk
-7.66,-6.27,0.5,0.67,0.18,0.52,-6.27,-7.66,0.0,walk
-7.63,-6.45,0.73,0.45,0.16,0.5,-6.45,-7.63,0.0,walk
-7.56,-6.78,0.57,0.38,0.09,0.43,-6.78,-7.56,0.0,walk
-7.45,-6.8,0.33,0.34,0.1,0.36,-6.8,-7.45,0.0,walk
-7.39,-6.79,0.46,0.34,0.13,0.28,-6.79,-7.39,0.0,walk
-7.34,-6.67,0.63,0.33,0.12,0.2,-6.67,-7.34,0.0,walk
-7.29,-6.53,0.78,0.27,0.08,0.13,-6.53,-7.29,0.0,walk
-7.24,-6.41,0.77,0.14,0.02,0.08,-6.41,-7.24,0.0,walk
-7.24,-6.36,0.59,0.01,-0.01,0.03,-6.36,-7.24,0.0,walk
-7.27,-6.27,0.48,-0.04,-0.03,-0.02,-6.27,-7.27,0.0,walk
-7.38,-6.21,0.52,-0.06,-0.01,-0.04,-6.21,-7.38,0.0,walk
-7.55,-6.38,0.64,-0.05,-0.02,-0.05,-6.38,-7.55,0.0,walk
-7.76,-6.61,0.64,-0.04,-0.06,-0.09,-6.61,-7.76,0.0,walk
-7.97,-6.73,0.56,-0.09,-0.08,-0.14,-6.73,-7.97,0.0,walk
-8.23,-7.01,0.43,-0.14,-0.09,-0.2,-7.01,-8.23,0.0,walk
-8.49,-7.2,0.4,-0.15,-0.07,-0.28,-7.2,-8.49,0.0,walk
-8.88,-7.14,0.37,-0.12,-0.05,-0.38,-7.14,-8.88,0.0,walk
-9.6,-7.04,0.57,-0.12,-0.01,-0.46,-7.04,-9.6,0.0,walk
-10.24,-6.79,0.68,-0.06,0.02,-0.55,-6.79,-10.24,0.0,walk
-10.41,-6.21,0.93,-0.07,0.05,-0.57,-6.21,-10.41,0.0,walk
-10.5,-6.0,1.29,-0.12,0.03,-0.49,-6.0,-10.5,0.0,walk
-10.57,-6.7,1.24,-0.23,-0.01,-0.4,-6.7,-10.57,0.0,walk
-10.51,-7.62,1.14,-0.33,-0.03,-0.46,-7.62,-10.51,0.0,walk
-10.18,-7.79,1.16,-0.32,-0.02,-0.59,-7.79,-10.18,0.0,walk
-9.69,-7.71,1.3,-0.37,-0.03,-0.71,-7.71,-9.69,0.0,walk
-9.16,-7.45,1.49,-0.5,-0.05,-0.83,-7.45,-9.16,0.0,walk
-8.71,-7.01,1.68,-0.66,-0.11,-0.94,-7.01,-8.71,0.0,walk
-8.4,-6.58,1.68,-0.71,-0.18,-1.01,-6.58,-8.4,0.0,walk
-8.14,-6.19,1.7,-0.74,-0.24,-1.05,-6.19,-8.14,0.0,walk
-7.86,-5.86,1.76,-0.9,-0.32,-1.1,-5.86,-7.86,0.0,walk
-7.63,-5.48,1.54,-1.1,-0.45,-1.14,-5.48,-7.63,0.0,walk
-7.52,-5.17,0.97,-1.22,-0.51,-1.14,-5.17,-7.52,0.0,walk
-7.56,-5.13,0.41,-1.24,-0.49,-1.13,-5.13,-7.56,0.0,walk
-7.8,-4.95,0.23,-1.21,-0.4,-1.14,-4.95,-7.8,0.0,walk
-8.12,-4.65,0.35,-1.23,-0.3,-1.11,-4.65,-8.12,0.0,walk
-8.52,-4.43,0.72,-1.24,-0.23,-1.02,-4.43,-8.52,0.0,walk
-9.0,-4.7,1.03,-1.21,-0.2,-0.87,-4.7,-9.0,0.0,walk
-9.47,-5.12,1.28,-1.19,-0.21,-0.74,-5.12,-9.47,0.0,walk
-9.82,-5.87,1.21,-1.12,-0.22,-0.64,-5.87,-9.82,0.0,walk
-9.98,-6.86,0.99,-1.12,-0.2,-0.55,-6.86,-9.98,0.0,walk
-9.96,-8.11,0.72,-1.07,-0.14,-0.59,-8.11,-9.96,0.0,walk
-9.9,-8.86,0.5,-0.92,-0.04,-0.71,-8.86,-9.9,0.0,walk
-9.76,-9.39,0.56,-0.74,0.12,-0.88,-9.39,-9.76,0.0,walk
-9.65,-9.78,1.08,-0.54,0.28,-1.12,-9.78,-9.65,0.0,walk
-9.55,-9.58,1.96,-0.38,0.34,-1.42,-9.58,-9.55,0.0,walk
-9.55,-8.71,2.71,-0.44,0.28,-1.71,-8.71,-9.55,0.0,walk
-9.49,-7.63,3.02,-0.61,0.09,-1.94,-7.63,-9.49,0.0,walk
-9.43,-6.46,2.62,-0.86,-0.11,-2.04,-6.46,-9.43,0.0,walk
-9.34,-5.87,1.79,-1.03,-0.23,-2.08,-5.87,-9.34,0.0,walk
-9.24,-5.29,1.03,-1.12,-0.23,-2.09,-5.29,-9.24,0.0,walk
